口腔 [kǒu qiāng],<ruby>口<rt>kǒu</rt></ruby><ruby>腔<rt>qiāng</rt></ruby>,口腔,口腔,kǒu qiāng,['ㄎㄡˇ ㄑㄧㄤ'],space inside mouth (oral cavity),['ㄎㄡˇ ㄑㄧㄤ'],
率领 [shuài lǐng],<ruby>率<rt>shuài</rt></ruby><ruby>领<rt>lǐng</rt></ruby>,率领,率領,shuài lǐng,['ㄕㄨㄞˋ ㄌㄧㄥˇ'],lead; command; head,['ㄕㄨㄞˋ ㄌㄧㄥˇ'],
展望 [zhǎn wàng],<ruby>展<rt>zhǎn</rt></ruby><ruby>望<rt>wàng</rt></ruby>,展望,展望,zhǎn wàng,['ㄓㄢˇ ㄨㄤˋ'],outlook; prospect; to look ahead; look forward to,['ㄓㄢˇ ㄨㄤˋ'],
眯 [mī],<ruby>眯<rt>mī</rt></ruby>,眯,瞇,mī,['ㄇㄧ'],to squint; to take a nap | get something in one's eye,['ㄇㄧ'],
眯 [mí],<ruby>眯<rt>mí</rt></ruby>,眯,瞇,mí,['ㄇㄧˊ'],to squint; to take a nap | get something in one's eye,['ㄇㄧˊ'],
眼色 [yǎn sè],<ruby>眼<rt>yǎn</rt></ruby><ruby>色<rt>sè</rt></ruby>,眼色,眼色,yǎn sè,['ㄧㄢˇ ㄙㄜˋ'],a wink; signal with one's eyes,['ㄧㄢˇ ㄙㄜˋ'],
迎面 [yíng  miàn],<ruby>迎<rt>yíng</rt></ruby><ruby>面<rt></rt></ruby>,迎面,迎面,yíng  miàn,['ㄧㄥˊ  ㄇㄧㄢˋ'],face to face; headlong; in one's face,['ㄧㄥˊ  ㄇㄧㄢˋ'],
美观 [měi guān],<ruby>美<rt>měi</rt></ruby><ruby>观<rt>guān</rt></ruby>,美观,美觀,měi guān,['ㄇㄟˇ ㄍㄨㄢ'],pleasing to the eye; beautiful; artistic,['ㄇㄟˇ ㄍㄨㄢ'],
热泪盈眶 [rè  lèi  yíng  kuàng],<ruby>热<rt>rè</rt></ruby><ruby>泪<rt></rt></ruby><ruby>盈<rt>lèi</rt></ruby><ruby>眶<rt></rt></ruby>,热泪盈眶,熱淚盈眶,rè  lèi  yíng  kuàng,['ㄖㄜˋ  ㄌㄟˋ  ㄧㄥˊ  ㄎㄨㄤˋ'],(saying) eyes brimming with tears; extremely moved,['ㄖㄜˋ  ㄌㄟˋ  ㄧㄥˊ  ㄎㄨㄤˋ'],
群 [qún],<ruby>群<rt>qún</rt></ruby>,群,群,qún,['ㄑㄩㄣˊ'],"crowd; group; (mw for groups, flocks, or swarms)",['ㄑㄩㄣˊ'],
顿 [dùn],<ruby>顿<rt>dùn</rt></ruby>,顿,頓,dùn,['ㄉㄨㄣˋ'],pause; arrange; stamp feet; suddenly; (mw for meals),['ㄉㄨㄣˋ'],
顶 [dǐng],<ruby>顶<rt>dǐng</rt></ruby>,顶,頂,dǐng,['ㄉㄧㄥˇ'],"top; roof; carry on one's head; prop up; to butt; (mw for headwear, i.e. hats)",['ㄉㄧㄥˇ'],
首 [shǒu],<ruby>首<rt>shǒu</rt></ruby>,首,首,shǒu,['ㄕㄡˇ'],head; chief; first; (mw for poems and songs) (Kangxi radical 185),['ㄕㄡˇ'],
口 [kǒu],<ruby>口<rt>kǒu</rt></ruby>,口,口,kǒu,['ㄎㄡˇ'],mouth (Kangxi radical 30),['ㄎㄡˇ'],
红 [hóng],<ruby>红<rt>hóng</rt></ruby>,红,紅,hóng,['ㄏㄨㄥˊ'],red; symbol of success; bonus; popular,['ㄏㄨㄥˊ'],
白 [bái],<ruby>白<rt>bái</rt></ruby>,白,白,bái,['ㄅㄞˊ'],white,['ㄅㄞˊ'],
颜色 [yán sè],<ruby>颜<rt>yán</rt></ruby><ruby>色<rt>sè</rt></ruby>,颜色,顏色,yán sè,['ㄧㄢˊ ㄙㄜˋ'],color,['ㄧㄢˊ ㄙㄜˋ'],
蓝 [lán],<ruby>蓝<rt>lán</rt></ruby>,蓝,藍,lán,['ㄌㄢˊ'],blue,['ㄌㄢˊ'],
绿 [lǜ],<ruby>绿<rt>lǜ</rt></ruby>,绿,綠,lǜ,['ㄌㄩˋ'],green,['ㄌㄩˋ'],
无聊 [wú liáo],<ruby>无<rt>wú</rt></ruby><ruby>聊<rt>liáo</rt></ruby>,无聊,無聊,wú liáo,['ㄨˊ ㄌㄧㄠˊ'],nonsense; bored; silly; stupid,['ㄨˊ ㄌㄧㄠˊ'],
糊涂 [hú tu],<ruby>糊<rt>hú</rt></ruby><ruby>涂<rt>tu</rt></ruby>,糊涂,糊涂,hú tu,['ㄏㄨˊ ㄊㄨ˙'],confused; bewildered; muddled,['ㄏㄨˊ ㄊㄨ˙'],
紫 [zǐ],<ruby>紫<rt>zǐ</rt></ruby>,紫,紫,zǐ,['ㄗˇ'],purple,['ㄗˇ'],
慌张 [huāng zhāng],<ruby>慌<rt>huāng</rt></ruby><ruby>张<rt>zhāng</rt></ruby>,慌张,慌張,huāng zhāng,['ㄏㄨㄤ ㄓㄤ'],flustered; flurried,['ㄏㄨㄤ ㄓㄤ'],
疲倦 [pí juàn],<ruby>疲<rt>pí</rt></ruby><ruby>倦<rt>juàn</rt></ruby>,疲倦,疲倦,pí juàn,['ㄆㄧˊ ㄐㄩㄢˋ'],tired; weary,['ㄆㄧˊ ㄐㄩㄢˋ'],
和蔼 [hé 'ǎi],<ruby>和<rt>hé</rt></ruby><ruby>蔼<rt>'ǎi</rt></ruby>,和蔼,和藹,hé 'ǎi,"[""ㄏㄜˊ 'ㄞˇ""]",kindly; good-tempered; amiable,"[""ㄏㄜˊ 'ㄞˇ""]",
斯文 [sī wen],<ruby>斯<rt>sī</rt></ruby><ruby>文<rt>wen</rt></ruby>,斯文,斯文,sī wen,['ㄙ ㄨㄣ˙'],refined; educated; cultured; intellectual; men of letters; scholars; literati; polite; gentle,['ㄙ ㄨㄣ˙'],
纵横 [zòng héng],<ruby>纵<rt>zòng</rt></ruby><ruby>横<rt>héng</rt></ruby>,纵横,縱橫,zòng héng,['ㄗㄨㄥˋ ㄏㄥˊ'],able to move unhindered; length and breadth,['ㄗㄨㄥˋ ㄏㄥˊ'],
零星 [líng xīng],<ruby>零<rt>líng</rt></ruby><ruby>星<rt>xīng</rt></ruby>,零星,零星,líng xīng,['ㄌㄧㄥˊ ㄒㄧㄥ'],partial; scattered; fragmentary,['ㄌㄧㄥˊ ㄒㄧㄥ'],
理直气壮 [lǐ zhí qì zhuàng],<ruby>理<rt>lǐ</rt></ruby><ruby>直<rt>zhí</rt></ruby><ruby>气<rt>qì</rt></ruby><ruby>壮<rt>zhuàng</rt></ruby>,理直气壮,理直氣壯,lǐ zhí qì zhuàng,['ㄌㄧˇ ㄓˊ ㄑㄧˋ ㄓㄨㄤˋ'],"with justice on one's side, one is bold and assured; to have the courage of ones convictions; just and forceful",['ㄌㄧˇ ㄓˊ ㄑㄧˋ ㄓㄨㄤˋ'],
个 [ge],<ruby>个<rt>ge</rt></ruby>,个,個,ge,['ㄍㄜ˙'],things [counter word],['ㄍㄜ˙'],
本 [běn],<ruby>本<rt>běn</rt></ruby>,本,本,běn,['ㄅㄣˇ'],measure word for books,['ㄅㄣˇ'],
件 [jiàn],<ruby>件<rt>jiàn</rt></ruby>,件,件,jiàn,['ㄐㄧㄢˋ'],"(mw for things, clothes, and items)",['ㄐㄧㄢˋ'],
只 [zhī],<ruby>只<rt>zhī</rt></ruby>,只,隻,zhī,['ㄓ'],number of animals [counter word],['ㄓ'],
条 [tiáo],<ruby>条<rt>tiáo</rt></ruby>,条,條,tiáo,['ㄊㄧㄠˊ'],strip; (mw for long thin objects); item,['ㄊㄧㄠˊ'],
张 [zhāng],<ruby>张<rt>zhāng</rt></ruby>,张,張,zhāng,['ㄓㄤ'],(mw for flat objects); to spread out; (common surname),['ㄓㄤ'],
辆 [liàng],<ruby>辆<rt>liàng</rt></ruby>,辆,輛,liàng,['ㄌㄧㄤˋ'],(mw for vehicles),['ㄌㄧㄤˋ'],
包 [bāo],<ruby>包<rt>bāo</rt></ruby>,包,包,bāo,['ㄅㄠ'],"to cover; to wrap; to hold; include; (mw for containers, packages, etc.)",['ㄅㄠ'],
双 [shuāng],<ruby>双<rt>shuāng</rt></ruby>,双,雙,shuāng,['ㄕㄨㄤ'],two; double; (mw for pairs),['ㄕㄨㄤ'],
层 [céng],<ruby>层<rt>céng</rt></ruby>,层,層,céng,['ㄘㄥˊ'],"(mw for layers, floors of buildings)",['ㄘㄥˊ'],
场 [chǎng],<ruby>场<rt>chǎng</rt></ruby>,场,場,chǎng,['ㄔㄤˇ'],"courtyard; place; field; (mw for games, performances, etc.) | threshing floor",['ㄔㄤˇ'],
场 [cháng],<ruby>场<rt>cháng</rt></ruby>,场,場,cháng,['ㄔㄤˊ'],"courtyard; place; field; (mw for games, performances, etc.) | threshing floor",['ㄔㄤˊ'],
份 [fèn],<ruby>份<rt>fèn</rt></ruby>,份,份,fèn,['ㄈㄣˋ'],"part; portion; (mw for documents, papers, jobs, etc.)",['ㄈㄣˋ'],
